DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2023-01-16,202301,1,123262051,21301010069,1673588942425,99764746.0,106,LOTTE INDIA-INDIA,LOTTE JUICIES CENTER FILLED CANDY,LOTTE JUICIES CENTER FILLED CANDY\800\GM,500.0,PET,800 GM,New SKU,1673588942425-lotte india-india-lotte juicies center filled candy#3.png,RECODING,5
2023-01-16,202301,1,125959303,52202010022,1673585259769,99764747.0,106,DURGA CONFECTIONERY-INDIA,MONARKO DOUBLE CREAM ,MONARKO DOUBLE CREAM/REAL BUTTERY ROYAL CANDY/420GM/PPH,128.0,PPH,420GM ,,1673585259769-durga confectionery-india-monarko double cream #3.png,RECODING,5
2023-01-16,202301,1,123943065,21209010070,1673505409832,99764748.0,123,K.C.SOAP&CHEMICAL IND.PVT.LTD,4X,4X SOAP/LANDRY SOAP/200G/PPH,45.0,PPH,200G,,1673505409832-k-c-soap-chemical ind-pvt-ltd-4x#3.png,RECODING,5
2023-01-16,202301,1,123943065,21209010070,1673505712863,99764749.0,123,GOLDEN STAR SOAP IND-NEPAL,NIMA HERBAL,NIMA HERBAL/DISHWASH BAR/75+5GM/PPH,10.0,PPH,75+5GM,,1673505712863-golden star soap ind-nepal-nima herbal#3.png,RECODING,5
2023-01-17,202301,1,124768422,21301010058,1673851496765,99764750.0,106,CANDY LAKE NUTRITIONS PVT LTD-IN,CANDY LAKE MILKIEZ 2 JN 1 CANDY,CANDY LAKE MILKIEZ 2 ON 1 CANDY\680\GM,250.0,PCN,680 GM,New SKU,1673851496765-candy lake nutritions pvt ltd-in-candy lake milkiez 2 jn 1 candy#3.png,RECODING,5
2023-01-17,202301,1,124768422,21301010058,1673852546311,99764751.0,123,MAHASHAKTI SOAP & CHEM.- NEPAL,LION DETERGENT CAKE,LION DETERGENT CAKE \75\GM,10.0,PPH,75 GM,New SKU,1673852546311-mahashakti soap - chem-- nepal-lion detergent cake#3.png,RECODING,5
2023-01-17,202301,1,126759332,52202010014,1673850722327,99764584.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/CHATPATA MAZZA/335GM/PPH,100.0,PPH,335GM,,1673850722327-sujal foods pvt ltd-nepal-rasilo candy#3.png,CROSS CODING,2
2023-01-17,202301,1,126759332,52202010014,1673850942526,99764752.0,106,SUJAL FOODS PVT LTD-NEPAL,WHITE BIRDS,WHITEBIRDS/SOFT MILKY CANDY/280GM/PPH,85.0,PPH,280GM,,1673850942526-sujal foods pvt ltd-nepal-white birds#3.png,RECODING,5
2023-01-17,202301,3,2110200003,21102030196,1673855455717,99764753.0,126,IPA GUTKHA UDHYOG-NEPAL,R-R,R-R NIWAS/PAN MASALA/IPA GUTKHA UDHYOG/NEPAL/PPH/3.5GM,13.0,PPH,3.5GM,,1673855455717-ipa gutkha udhyog-r-r#3.png,RECODING,5
2023-01-18,202301,3,2110115978,21101031941,1673852228198,99764766.0,126,DHARMAPAL SATYAPAL LTD-INDIA,PASSPASS,PASSPASS\PAAN MASALA\DHARAMPAL SATYAPAL FOODS LTD\11 GM\PPH,15.0,PPH,11GM,Invoices not available,1673852228198-dharmapal satyapal ltd-india-passpass#3.png,RECODING,5
2023-01-18,202301,1,125623216,21301010053,1673946228026,99764754.0,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL FRUIT CANDY,SUJAL FRUIT CANDY\680\GM,200.0,PCN,680 GM,New SKU,1673946228026-sujal foods pvt ltd-nepal-sujal fruit candy#3.png,RECODING,5
2023-01-18,202301,1,123582683,21301010054,1673934057939,99764770.0,132,UNICHARM INDIA LTD-INDIA,MAMYPOKO PANTS EXTRA ABORS XL,MAMYPOKO PANTS EXTRA ABSORB XL \42\PC,999.0,PPH,42 PCC,New SKU,1673934057939-unicharm india ltd-india-mamypoko pants extra abors xl#3.png,RECODING,5
2023-01-18,202301,1,123582683,21301010054,1673939774607,99764763.0,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI XTRAA LAUNDRY SOAP,DHONI XTRAA LAUNDRY SOAP\1000\GM,220.0,PPH,1000 GM,New SKU,1673939774607-himgiri soap - chemicals-nepal-dhoni xtraa laundry soap#3.png,RECODING,5
2023-01-18,202301,1,123582683,21301010054,1673933169689,99764759.0,122,PROCTER & GAMBLE - INDIA,ARIEL MATIC FRONT LOAD,ARIEL MATIC FRONT LOAD CBP\3000\GM,4000.0,CBP,3000 GM,New SKU,1673933169689-procter - gamble - india-ariel matic front load#3.png,RECODING,5
2023-01-18,202301,1,123582683,21301010054,1673932563187,99764542.0,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL MILK CHOCOLATE ECLAIRS,SUJAL MILK CHOCOLATE ECLAIRS\1740\GM,600.0,PCN,1740 GM,New SKU,1673932563187-sujal foods pvt ltd-nepal-sujal milk chocolate eclairs#3.png,CROSS CODING,2
2023-01-18,202301,1,123582683,21301010054,1673933364032,99764760.0,122,JYOTHY LABORATORIES LTD-INDIA,HENKO MATIC,HENKO MATIC \2000\GM,588.0,CBP,2000GM,New SKU,1673933364032-jyothy laboratories ltd-india-henko matic#3.png,RECODING,5
2023-01-18,202301,1,123582683,21301010054,1673934356767,99764761.0,122,HINDUSTAN UNILEVER LTD-INDIA,SURF EXCEL MATIC ,SURF EXCEL MATIC CBP\6000\GM,2350.0,CBP,6000 GM,New SKU,1673934356767-hindustan unilever ltd-india-surf excel matic #3.png,RECODING,5
2023-01-18,202301,1,128997655,52202010004,1673929671446,99764756.0,117,RSH GLOBAL PVT. LTD INDIA ,JOY NATURAL ACTIVES,JOY NATURAL ACTIVES/ANTI HAIRFALL & DAMAGE CONTROL/340ML/PBT,256.0,PBT,340ML ,,1673929671446-rsh global pvt- ltd india -joy natural actives#3.png,RECODING,5
2023-01-18,202301,1,124916559,52202010001,1673848571223,99764758.0,120,HALE DEW REMIDIES-INDIA,SILKIN,SILKIN /STRAWBERRY TRANSPARENT SOAP/50GM/CBP,80.0,CBP,50GM,,1673848571223-hale dew remidies-india-silkin#3.png,RECODING,5
2023-01-18,202301,1,124916559,52202010001,1673847470774,99764768.0,130,RECKITT BENCKISER - INDIA,KOHINOOR PLEASURE ,KOHINOOR PLEASURE/PINK/10 NOSE/CBP,128.0,CBP,10 NOSE,,1673847470774-reckitt benckiser - india-kohinoor pleasure #3.png,RECODING,5
2023-01-18,202301,1,124916559,52202010001,1673847135148,99764755.0,116,JAY MATA DI SANITARY UDHYOG-NP,TIPSY ULTRA CHOICE ,TIPSY ULTRA CHOICE/DAY & NIGHT/7 PADS/PPH,50.0,PPH,7 PADS,,1673847135148-jay mata di sanitary udhyog-np-tipsy ultra choice #3.png,RECODING,5
2023-01-18,202301,1,124916559,52202010001,1673847630083,99764769.0,130,RECKITT BENCKISER - INDIA,DUREX EXTRA THIN,DUREX EXTRA THIN/WILD STRAWBERY/3 NOSE/CBP,80.0,CBP,3 NOSE,,1673847630083-reckitt benckiser - india-durex extra thin#3.png,RECODING,5
2023-01-18,202301,1,124916559,52202010001,1673933902691,99764771.0,132,PROCTER & GAMBLE - INDIA,PAMPERS,PAMPERS/HAPPY SKIN PANTS SMALL/10 PANTS/PPH,160.0,PPH,10 PANTS,,1673933902691-procter - gamble - india-pampers#3.png,RECODING,5
2023-01-19,202301,3,122041029,12303030071,1674033855842,99764767.0,126,NARAYAN RAJ PRODUCTS PVT LTD,PE PARAG,PE PARAG- PAAN MASALA PPH 1.87GM,3.5,PPH,1.87GM,,1674033855842-narayan raj products pvt ltd-pe parag#3.png,RECODING,5
2023-01-19,202301,1,123460576,21301010002,1674041645241,99764757.0,117,SAGARMATHA HEALTH CARE,KETOKLAN-Z,KETOKLAN-Z\75\ML,336.0,TUBE,75 ML,New SKU,1674041645241-sagarmatha health care-ketoklan-z#3.png,RECODING,5
2023-01-19,202301,1,123877049,21301010045,1674019464251,99764764.0,123,KALASH SOAP INDUSTRIES-NEPAL,JUNI DISHWASH BAR,JUNI DISHWASH BAR\90\GM,10.0,PPH,90 GM,New SKU,1674019464251-kalash soap industries-nepal-juni dishwash bar#3.png,RECODING,5
2023-01-19,202301,3,2110202347,21102030213,1674027364828,99764765.0,124,IPA GUTKHA UDHYOG,KICK,KICK/GUTKHA/KESAR/PPH/2GM/IPA GUTKHA UDHYOG,6.0,PPH,2GM,,1674027364828-ipa gutkha udhyog-kick#3.png,RECODING,5
2023-01-19,202301,1,122193104,12303010028,1673951226451,99764762.0,122,DS CHEMICALSPACKAGING UDHYOG NEPAL,REAL CLEAN,REAL CLEAN- DETERGENT POWDER 500GM,55.0,PPH,500GM,,1673951226451-ds chemicalspackaging udhyog nepal-real clean#3.png,RECODING,5
2023-01-20,202301,1,124491768,21301010065,1674126452656,99764772.0,106,HIMADRI FOOD-NEPAL,PRAN BUBBLE GUM,PRAN BUBBLE GUM PCN\375GM,150.0,PCN,375 GM,New SKU,1674126452656-himadri food-nepal-pran bubble gum#3.png,RECODING,5
2023-01-20,202301,2,113383396,21102020059,1674112527027,99764780.0,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS/KIWI,140.0,PPH,320 ML,,1674112527027-singapore beverage-nepal-fruit gems#3.png,RECODING,5
2023-01-20,202301,2,113383396,21102020059,1674112834901,99764781.0,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS/STRAWBERRY,140.0,140,320 ML,,1674112834901-singapore beverage-nepal-fruit gems#3.png,RECODING,5
2023-01-20,202301,1,130646198,22101010019,1674104082943,99764450.0,122,RSPL LTD-INDIA,GHADI,GHADI\110G\PPH\DETERGENT POWDER ,16.0,PPH,110GM,,1674104082943-rspl ltd-india-ghadi#3.png,CROSS CODING,2
2023-01-20,202301,1,130971813,22101010016,1674106571441,99764773.0,106,PERFETTI VAN MELLE-INDIA,ALPENLIEBE JUICYFILLS,ALPENLIEBE JUICYFILLS\570FM\PCN JAR\MANGO FLAVOUR ,375.0,PCN JAR,150GM,,1674106571441-perfetti van melle-india-alpenliebe juicyfills#3.png,RECODING,5
2023-01-20,202301,1,130971813,22101010016,1674106190167,99764774.0,106,PERFETTI VAN MELLE-INDIA,HAPPYDENT WAVE,HAPPYDENT WAVE\409.5GM\PCN JAR\ORANGE FLAVOUR ,487.5,PCN JAR,409.5GM,,1674106190167-perfetti van melle-india-happydent wave#3.png,RECODING,5
2023-01-20,202301,1,124683707,52202010017,1674115114376,99764775.0,106,PERFETTI VAN MELLE-INDIA,CENTER FRUIT,CENTER FRUIT/WATERMELON/420GM/PCN,350.0,PCN,420GM,,1674115114376-perfetti van melle-india-center fruit#3.png,RECODING,5
2023-01-20,202301,1,124683707,52202010017,1674114559476,99764776.0,106,PERFETTI VAN MELLE-INDIA,ALPENLIEBE JUZT JELLY,ALPENLIEBE JUZT JELLY/GUAVA/518GM/PCN,350.0,PCN,518GM,,1674114559476-perfetti van melle-india-alpenliebe juzt jelly#3.png,RECODING,5
2023-01-20,202301,1,124683707,52202010017,1674114152112,99764772.0,106,HIMADRI FOOD-NEPAL,PRAN BUBBLE GUM,PRAN BUBBLE GUM/375GM/PCN,120.0,PCN,375GM,,1674114152112-himadri food-nepal-pran bubble gum#3.png,RECODING,5
2023-01-20,202301,1,122755596,12303010014,1674116696870,99764778.0,123,MAHABIR SOAP & CHEMICAL- NEPAL,LION HERBAL,LION HERBAL-LEMON & NEEM PPH 150GM,20.0,PPH,150GM,,1674116696870-mahabir soap - chemical- nepal-lion herbal#3.png,RECODING,5
2023-01-20,202301,1,123492101,12303010043,1674115586560,99764777.0,122,KRISHNA CLEARING PRODUCT NEPAL,PUSHPANJALI,PUSHPANJALI DETERGENT POWDER ANTI-BACTERIAL NEEM WITH FRESH ROSE FRAGNANCE,100.0,PPH,1KG,,1674115586560-krishna clearing product nepal-pushpanjali#3.png,RECODING,5
2023-01-20,202301,1,122380503,12303010054,1674031790433,99764779.0,123,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES PLUS,V SERIES PLUS-HERBAL DISHWASH BAR LEMON & WOOD ASH 30GM EXTRA PPH 120GM,20.0,PPH,120GM+30GMEXTRA,,1674031790433-gopal soap industries - nepal-v series plus#3.png,RECODING,5
2023-01-21,202301,1,131065174,22101010022,1674195083354,99764782.0,106,PERFETTI VAN MELLE-INDIA,ALPENLIEBE ECLAIRS PLUS ,ALPENLIEBE ECLAIRS PLUS\686.8GM\PCN\COFFEE CHOCO CHEWY TOFFEE ,325.0,PCN,686.8GM,,1674195083354-perfetti van melle-india-alpenliebe eclairs plus #3.png,RECODING,5
2023-01-21,202301,1,131065174,22101010022,1674104082943,99764450.0,122,RSPL LTD-INDIA,GHADI,GHADI\110G\PPH\DETERGENT POWDER ,16.0,PPH,110GM,,1674104082943-rspl ltd-india-ghadi#3.png,CROSS CODING,2
2023-01-21,202301,1,127031725,22101010021,1674196462690,99764783.0,106,PERFETTI VAN MELLE-INDIA,ALPENLIEBE  JUZT JELLY,ALPENLIEBE JUZT JELLY\832.5GM\PCN\STRAWBERRY FLAVOUR ,360.0,PCN,832.5GM,,1674196462690-perfetti van melle-india-alpenliebe  juzt jelly#3.png,RECODING,5
2023-01-21,202301,1,122591122,21301010068,1674201473832,99764785.0,123,MAHASHAKTI SOAP & CHEM.- NEPAL,LION 100% WASHING  SOAP,LION 100% PURE WASHING SOAP\300\GM,50.0,PPH,300 GM,New SKU,1674201473832-mahashakti soap - chem-- nepal-lion 100- washing  soap#3.png,RECODING,5
2023-01-21,202301,1,124057041,21301010052,1674198042997,99764786.0,123,KWALITY CHEM PVT LTD-NEPAL,PUREX LAUNDRY SOAP,PUREX LAUNDRY SOAP\250\GM,50.0,PPH,250 GM,New SKU,1674198042997-kwality chem pvt ltd-nepal-purex laundry soap#3.png,RECODING,5
2023-01-21,202301,1,123721069,31101010080,1674191756097,99764784.0,120,HIMGIRI SOAP & CHEMICALS-NEPAL,LARK,LARK FRAGRANCED\12GM\PPH\RS:10\HIMGIRI SOAP&CHEMICAL INDUSTRIES PLTD NEPAL,10.0,PPH,12GM,New SKU,1674191756097-himgiri soap - chemicals-nepal-lark#3.png,RECODING,5
2023-01-21,202301,3,123126414,12303030055,1674201436472,99764787.0,124,SAKAMBARI PRODUCT NEPAL,SHREE NAAZ,SHREE NAAZ GUTKHA PPH 1.7GM,3.0,PPH,1.7GM,,1674201436472-sakambari product nepal-shree naaz#3.png,RECODING,5
2023-01-21,202301,1,111688106,21102010001,1674199608120,99764788.0,129,COOPER PHARMA LI.ITED,D-PILL,D-PILL/1 NOS,80.0,CBP,1 NOS,,1674199608120-cooper pharma li-ited-d-pill#3.png,RECODING,5
2023-01-23,202301,3,1210102221,12101030114,1674366183734,99764792.0,125,RAJA AND SUN INDIA,DOUBLE PAHALWAN,DOUBLE PAHALWAN KHAINI PPH.- 20GM.,8.0,PPH.,20GM.,,1674366183734-raja and sun india-double pahalwan#3.png,RECODING,5
2023-01-23,202301,3,1210101175,12101030090,1674366183734,99764792.0,125,RAJA AND SUN INDIA,DOUBLE PAHALWAN,DOUBLE PAHALWAN KHAINI PPH.- 20GM.,8.0,PPH.,20GM.,,1674366183734-raja and sun india-double pahalwan#3.png,RECODING,5
2023-01-23,202301,1,128607002,12201010004,1674029980033,99764789.0,106,SURYA NEPAL PVT LTD - NEPAL,TOFFICHOO DUOZ,TOFFICHOO DUOZ-STRAWBERRY PCN 720G,400.0,PCN,720G,,1674029980033-surya nepal pvt ltd - nepal-toffichoo duoz#3.png,RECODING,5
2023-01-23,202301,1,124684022,21301010055,1674370111262,99764790.0,106,MAA BHAGWATI PRODUCT-INDIA,BUTTER MILK ECLAIRS CARAMEL,BUTTER MILK ECLAIRS CARAMEL\800\GM,200.0,PCN,800GM,New SKU,1674370111262-maa bhagwati product-india-butter milk eclairs caramel#3.png,RECODING,5
2023-01-23,202301,1,126240640,21301010051,1674365550089,99764774.0,106,PERFETTI VAN MELLE-INDIA,HAPPYDENT WAVE SPARKING ORANGE,HAPPYDENT WAVE SPARKING ORANGE\409.5\GM,487.0,PCN,409.5 GM,,1674365550089-perfetti van melle-india-happydent wave sparking orange#3.png,RECODING,5
2023-01-23,202301,1,126240640,21301010051,1674365077444,99764773.0,106,PERFETTI VAN MELLE-INDIA,ALPENLIEBE JUICYFILLS MANGO,ALPENLIEBE JUICYFILLS MANGO PCN\570\GM,375.0,PCN,570 GM,New SKU,1674365077444-perfetti van melle-india-alpenliebe juicyfills mango#3.png,RECODING,5
2023-01-23,202301,2,112141235,12101020015,1674193515696,99764265.0,134,LIFE FOOD & BEVERAGE-NEPAL,REBOOST ORIGINAL,REBOOST ENERRGY DRINK PBT 150ML.,50.0,PBT,150ML,,1674193515696-life food - beverage-nepal-reboost original#3.png,CROSS CODING,2
2023-01-23,202301,1,116869964,11302010010,1674097964355,99764791.0,123,PATANJALI AYURVED PVT LTD-NEPAL,PATANJALI SUPER,PATANJALI SUPER-LEMON & WOOD ASH 250G*3,85.0,EWP,250*3,,1674097964355-patanjali ayurved pvt ltd-nepal-patanjali super#3.png,RECODING,5
2023-01-24,202301,1,131055500,22101010024,1674104082943,99764450.0,122,RSPL LTD-INDIA,GHADI,GHADI\110G\PPH\DETERGENT POWDER ,16.0,PPH,110GM,,1674104082943-rspl ltd-india-ghadi#3.png,CROSS CODING,2
2023-01-24,202301,1,112785955,12101010015,1674456783510,99764508.0,106,SUJAL FOODS PVT LTD-NEPAL,FRUIT CANDY ,FRUIT CANDY CENTER FILLED-PCN-700GM.,170.0,PCN,700GM.,,1674456783510-sujal foods pvt ltd-nepal-fruit candy #3.png,RECODING,5
2023-01-24,202301,1,112785955,12101010015,1674457574263,99764775.0,106,PERFETTI VAN MELLE-INDIA,CENTER FRUIT WATER MELON,CENTER FRUIT- WATER MELON- PCN 420GM.,350.0,PCN,420GM.,,1674457574263-perfetti van melle-india-center fruit water melon#3.png,RECODING,5
2023-01-24,202301,1,112785955,12101010015,1674459064814,99764809.0,122,FENA LTD. - INDIA,FENA SUPERWASH ,FENA SUPERWASH ROSE & CHANDAN- PPH175GM.,25.0,PPH,175 GM.,,1674459064814-fena ltd- - india-fena superwash #3.png,RECODING,5
2023-01-24,202301,1,112785955,12101010015,1674455600838,99764797.0,111,MARICO LIMITED - INDIA,NIHAR COCONUT WITH METHI JASMINE,NIHAR NATURALS- COCONUT WITH METHI-JASMINE PBT- 200ML.,126.4,PBT,200ML.,,1674455600838-marico limited - india-nihar coconut with methi jasmine#3.png,RECODING,5
2023-01-24,202301,3,1210101739,12101030232,1674366183734,99764792.0,125,RAJA AND SUN INDIA,DOUBLE PAHALWAN,DOUBLE PAHALWAN KHAINI PPH.- 20GM.,8.0,PPH.,20GM.,,1674366183734-raja and sun india-double pahalwan#3.png,RECODING,5
2023-01-24,202301,1,128656713,12201010019,1674028956558,99764793.0,106,SWEET MART FOOD INDUST-NEPAL,CELTERFRUIT,CELTERFRUIT-STRAWBERRY PCN 450G,290.0,PCN,450G,,1674028956558-sweet mart food indust-nepal-celterfruit#3.png,RECODING,5
2023-01-24,202301,1,128715435,12201010018,1673860171123,99764815.0,131,AMERICAN GOURMET LLC AUSTRALIA,AMERICAN GOURMET,AMERICAN GOURMET HONEY GBT 500G,400.0,GBT,500G,,1673860171123-american gourmet llc australia-american gourmet#3.png,RECODING,5
2023-01-24,202301,1,124909297,21301010063,1674451250677,99764794.0,106,NEBICO PVT LTD-NEPAL,NEBICO CARAMEL CREAM,NEBICO CARAMEL CREAM PPH\560\GM,200.0,PCN,560 GM,New SKU,1674451250677-nebico pvt ltd-nepal-nebico caramel cream#3.png,RECODING,5
2023-01-24,202301,1,124909297,21301010063,1674452164152,99762860.0,123,KWALITY CHEM PVT LTD-NEPAL,NEBICO CARAMEL CREAM,KWALITY LAUNDRY SOPA\200GM,45.0,PPH,200 GM,,1674452164152-kwality chem pvt ltd-nepal-nebico caramel cream#3.png,CROSS CODING,2
2023-01-24,202301,1,123718886,12303010002,1674470618491,99764795.0,106,DABUR NEPAL LTD.-NEPAL,DABUR HONITUS,DABUR HONITUS- TULSI PCN 280GM,200.0,PCN,280GM,,1674470618491-dabur nepal ltd--nepal-dabur honitus#3.png,RECODING,5
