itemcode, catcode, category , subcat, ssubcat, company                      , mbrand          , brand                          , sku    , packtype, base_pack, multipack, flavor      , color, wght, uom, hpkcnv, msu, launchdate, qty , mrp  , status, factcode, activeitem, active  , nepalcomm                                , flag, audittype, price_seg, filter_seg  , DELYM
99765328,     105, CIGARETTE,       ,        , GORKHA LAHARI PVT.LTD.- NEPAL, CAPTAIN         , CAPTAIN GOLD FILTER KINGS      , HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   202412.0, 20.0, 161.0,       ,         , Y         , ACTIVE  ,                                          ,    0,         3, MID-PRICE, LONG REGULAR, 
99765334,     105, CIGARETTE,       ,        , JT INTERNATIONAL - SA        , CAMEL CONNECT   , CAMEL CONNECT ORIGINAL         , HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   202501.0, 20.0, 161.5,       ,         , Y         , ACTIVE  ,                                          ,    0,         3, MID-PRICE, KS REGULAR  , 
99765335,     105, CIGARETTE,       ,        , JT INTERNATIONAL - SA        , CAMEL CONNECT   , CAMEL CONNECT MINT CRUSH       , HL 20'S, HL      ,        20,          , FRESH       ,      , 20.0, NO ,      0,   0,   202501.0, 20.0, 239.0,       ,         , Y         , ACTIVE  ,                                          ,    0,         3, MID-PRICE, KS REGULAR  , 
99765387,     105, CIGARETTE,       ,        , GORKHA LAHARI PVT.LTD.- NEPAL, NEPAL GOLD FLAKE, NEPAL GOLD FLAKE PREMIUM FILTER, HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   202504.0, 20.0, 133.5,       ,         , Y         , ACTIVE  ,                                          ,    0,         3, VALUE    , KS SLIM     , 
90110252,     105, CIGARETTE,       ,        , JT INTERNATIONAL - SA        , WINSTON         , WINSTON CLASSIC                , HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   201609.0, 20.0, 180.0,       ,         , N         , INACTIVE, INACTIVE FROM JANUARY 2023               ,    4,         3, MID-PRICE, KS REGULAR  , 
90110253,     105, CIGARETTE,       ,        , JT INTERNATIONAL - SA        , WINSTON         , WINSTON BLUE                   , HL 20'S, HL      ,        20,          , LIGHT       ,      , 20.0, NO ,      0,   0,   201609.0, 20.0, 180.0,       ,         , N         , INACTIVE, INACTIVE FROM JANUARY 2023               ,    4,         3, MID-PRICE, KS REGULAR  , 
   46118,     105, CIGARETTE,       ,        , JT INTERNATIONAL - SA        , WINSTON         , WINSTON PURPLE MINT            , HL 20'S, HL      ,        20,          , FRESH       ,      , 20.0, NO ,      0,   0,   201707.0, 20.0, 180.0,       ,         , Y         , ACTIVE  ,                                          ,    0,         3, MID-PRICE, KS REGULAR  , 
90110150,     105, CIGARETTE,       ,        , JT INTERNATIONAL - SA        , CAMEL           , CAMEL BLUE                     , HL 20'S, HL      ,        20,          , LIGHT       ,      , 20.0, NO ,      0,   0,   201401.0, 20.0, 300.0,       ,         , N         , INACTIVE, INACTIVE FROM FEBRUARY 2023              ,    4,         3, PREMIUM  , KS REGULAR  , 
90110123,     105, CIGARETTE,       ,        , JT INTERNATIONAL - SA        , CAMEL           , CAMEL FILTERS                  , HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   201401.0, 20.0, 300.0,       ,         , N         , INACTIVE, INACTIVE FROM FEBRUARY 2023              ,    4,         3, PREMIUM  , KS REGULAR  , 
90110193,     105, CIGARETTE,       ,        , PT PHILIP MORRIS-INDONESIA   , MARLBORO        , MARLBORO LIGHTS                , HL 20'S, HL      ,        20,          , LIGHT       ,      , 20.0, NO ,      0,   0,        0.0, 20.0, 300.0,       ,         , N         , INACTIVE, INACTIVE FROM MAY 2023                   ,    4,         3, PREMIUM  , KS REGULAR  , 
99765321,     105, CIGARETTE,       ,        , SURYA NEPAL PVT LTD - NEPAL  , SURYA           , SURYA FUSION                   , HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   202412.0, 20.0, 320.0,       ,         , Y         , ACTIVE  ,                                          ,    0,         3, PREMIUM  , KS REGULAR  , 
90110250,     105, CIGARETTE,       ,        , PT PHILIP MORRIS-INDONESIA   , MARLBORO        , MARLBORO GOLD                  , HL 20'S, HL      ,        20,          , LIGHT       ,      , 20.0, NO ,      0,   0,   201505.0, 20.0, 300.0,       ,         , Y         , ACTIVE  ,                                          ,    0,         3, PREMIUM  , KS REGULAR  , 
90110194,     105, CIGARETTE,       ,        , PT PHILIP MORRIS-INDONESIA   , MARLBORO        , MARLBORO RED                   , HL 10'S, HL      ,        10,          , FULL FLAVOUR,      , 10.0, NO ,      0,   0,        0.0, 10.0,  10.0,       ,         , N         , INACTIVE, 10'S PACK ARE NOT AVAILABLE IN THE MARKET,    4,         3, PREMIUM  , NON-FILTER  , 
90110240,     105, CIGARETTE,       ,        , PT PHILIP MORRIS-INDONESIA   , MARLBORO        , MARLBORO CLOVE MIX             , HL 10'S, HL      ,        10,          , KRETEK      ,      , 10.0, NO ,      0,   0,   201303.0, 10.0,  10.0,       ,         , N         , INACTIVE, 10'S PACK ARE NOT AVAILABLE IN THE MARKET,    4,         3, PREMIUM  , NON-FILTER  , 
90110203,     105, CIGARETTE,       ,        , PT PHILIP MORRIS-INDONESIA   , L & M           , L & M FILTER                   , HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   200612.0, 20.0, 180.0,       ,         , N         , INACTIVE, INACTIVE FROM JULY 2022                  ,    4,         3, PREMIUM  , NON-FILTER  , 
90110223,     105, CIGARETTE,       ,        , CHAUDHARY GROUP - NEPAL      , JOSH            , JOSH                           , HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   201006.0, 20.0, 180.0,       ,         , N         , INACTIVE, INACTIVE FROM JULY 2022                  ,    4,         3, VALUE    , KS SLIM     , 
90110226,     105, CIGARETTE,       ,        , CHAUDHARY GROUP - NEPAL      , JOSH            , JOSH GOLD                      , HL 20'S, HL      ,        20,          , FULL FLAVOUR,      , 20.0, NO ,      0,   0,   201102.0, 20.0, 180.0,       ,         , N         , INACTIVE, INACTIVE FROM JULY 2022                  ,    4,         3, VALUE    , KS SLIM     , 
